world_cup_year,match_id,source_match_id,stage,group_name,match_date,home_team,away_team,stadium,city,host_country,attendance,stadium_capacity,final_flag,extra_time_flag,penalty_flag,attendance_status,metadata_source_url,attendance_source_url
2010,2010_55,M-2010-55,round of 16,not applicable,2010-06-29,Paraguay,Japan,Loftus Versfeld Stadium,Pretoria,South Africa,36742.0,43000,0,1,1,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_56,M-2010-56,round of 16,not applicable,2010-06-29,Spain,Portugal,Cape Town Stadium,Cape Town,South Africa,62955.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_57,M-2010-57,quarter-finals,not applicable,2010-07-02,Netherlands,Brazil,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,40186.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_58,M-2010-58,quarter-finals,not applicable,2010-07-02,Uruguay,Ghana,Soccer City,Johannesburg,South Africa,84017.0,84000,0,1,1,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_59,M-2010-59,quarter-finals,not applicable,2010-07-03,Argentina,Germany,Cape Town Stadium,Cape Town,South Africa,64100.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_60,M-2010-60,quarter-finals,not applicable,2010-07-03,Paraguay,Spain,Ellis Park Stadium,Johannesburg,South Africa,55359.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_61,M-2010-61,semi-finals,not applicable,2010-07-06,Uruguay,Netherlands,Cape Town Stadium,Cape Town,South Africa,62479.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_62,M-2010-62,semi-finals,not applicable,2010-07-07,Germany,Spain,Moses Mabhida Stadium,Durban,South Africa,60960.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_63,M-2010-63,third-place match,not applicable,2010-07-10,Uruguay,Germany,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,36254.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_64,M-2010-64,final,not applicable,2010-07-11,Netherlands,Spain,Soccer City,Johannesburg,South Africa,84490.0,84000,0,1,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
