world_cup_year,host_country,match_id,stage,match_date,home_team,away_team,stadium,city,attendance,stadium_capacity,attendance_status,final_flag,extra_time_flag,penalty_flag,host_team_flag,opening_match_flag,avg_per_match_benchmark_m,final_benchmark_m,opening_benchmark_m,stage_weight,attendance_ratio,attendance_factor,host_factor,suspense_factor,raw_index,scale_factor,override_viewers_m,estimated_global_viewers_m,model_note,source_bridge
2010,South Africa,2010_36,group stage,2010-06-22,Nigeria,South Korea,Moses Mabhida Stadium,Durban,61874.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9821269841269842,1.1446380952380952,1.0,1.0,0.938603238095238,171.1086389255962,,160.60312256163348,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_37,group stage,2010-06-23,Slovenia,England,Nelson Mandela Bay Stadium,Port Elizabeth,36893.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8784047619047619,1.1135214285714286,1.0,1.0,0.9130875714285713,171.1086389255962,,156.23717156702094,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_38,group stage,2010-06-23,United States,Algeria,Loftus Versfeld Stadium,Pretoria,35827.0,43000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8331860465116279,1.0999558139534884,1.0,1.0,0.9019637674418605,171.1086389255962,,154.33379260717973,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_39,group stage,2010-06-23,Australia,Serbia,Mbombela Stadium,Nelspruit,37836.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.922829268292683,1.126848780487805,1.0,1.0,0.924016,171.1086389255962,,158.1071201054737,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_40,group stage,2010-06-23,Ghana,Germany,Soccer City,Johannesburg,83391.0,84000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.99275,1.147825,1.0,1.0,0.9412165,171.1086389255962,,161.05027424931342,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_41,group stage,2010-06-24,Paraguay,New Zealand,Peter Mokaba Stadium,Polokwane,34850.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8297619047619048,1.0989285714285715,1.0,1.0,0.9011214285714285,171.1086389255962,,154.189661149546,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_42,group stage,2010-06-24,Slovakia,Italy,Ellis Park Stadium,Johannesburg,53412.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9537857142857142,1.1361357142857142,1.0,1.0,0.9316312857142857,171.1086389255962,,159.41016127907466,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_43,group stage,2010-06-24,Cameroon,Netherlands,Cape Town Stadium,Cape Town,63093.0,64000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.985828125,1.1457484375,1.0,1.0,0.9395137187499999,171.1086389255962,,160.7589136672379,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_44,group stage,2010-06-24,Denmark,Japan,Royal Bafokeng Stadium,Rustenburg,27967.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.6658809523809524,1.0497642857142857,1.0,1.0,0.8608067142857142,171.1086389255962,,147.29146525944313,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_45,group stage,2010-06-25,North Korea,Ivory Coast,Mbombela Stadium,Nelspruit,34763.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8478780487804878,1.1043634146341463,1.0,1.0,0.905578,171.1086389255962,,154.95221902096355,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
